Iten,Protocolo,Prioridade,TipoCli,Id_cli,Data_AB,Hora_AB,Data_ATU,Impressao,Tipoo,TipoInterno,EstMark,Modo_Abertura,Modo_Designado,Iniciativa,Contato,Contrato,Fluxo,Topico,Checklist,ProxAtend,Situacao,SituacaoOS,Assunto,Solucao,Chat,Usu_Abertura,Usu_Designado,Usu_Devolucao,Grupo_Designado,Data_BX,Hora_BX,Usuario_BX,Causa,Qualidade,Visivel,Origem,Data_Prox,Hora_Prox,Duracao_Prox,SLAInicio,SLA,SLATipo,Duracao,Questionnaire,Duracao_Chat
1,2011000000000001,0,C,389,2011-09-21,09:48:00 AM,48:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,SEM CONEXAO,,,nina,,,0,2011-09-21,09:50:27 AM,,0,,N,,,,,,0,C,0,0,0
2,2011000000000002,0,C,491,2011-09-21,02:11:00 PM,11:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,SEM CONEXAO,,,nina,,,0,2011-09-21,02:54:04 PM,,0,,N,,,,,,0,C,0,0,0
3,2011000000000003,0,C,102,2011-09-21,02:12:00 PM,12:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,SEM CONEXAO,,,nina,,,0,2011-09-21,05:40:09 PM,,0,,N,,,,,,0,C,0,0,0
4,2011000000000004,0,C,436,2011-09-21,02:19:00 PM,19:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,SEM CONEXAO,,,nina,,,0,2011-09-21,02:53:45 PM,,0,,N,,,,,,0,C,0,0,0
5,2011000000000005,0,C,247,2011-09-21,02:47:00 PM,47:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,CONFIGURAR IP REAL,,,mayco,,,0,2011-09-26,08:31:46 AM,,0,,N,,,,,,0,C,0,0,0
6,2011000000000006,0,C,508,2011-09-21,02:49:00 PM,49:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,SEM CONEXÃO,,,mayco,,,0,2011-09-21,03:12:24 PM,,0,,N,,,,,,0,C,0,0,0
7,2011000000000007,0,C,324,2011-09-21,02:57:00 PM,57:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,SEM CONEXÃO,,,mayco,,,0,2011-09-21,03:11:55 PM,,0,,N,,,,,,0,C,0,0,0
8,2011000000000008,0,C,536,2011-09-21,04:02:00 PM,02:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,,,,nina,,,0,2011-09-22,08:53:54 AM,,0,,N,,,,,,0,C,0,0,0
9,2011000000000009,0,C,626,2011-09-21,04:45:00 PM,45:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,INSTALAÇÃO DE EQUIPAMENTO,,,nina,,,0,2011-09-22,04:47:50 PM,,0,,N,,,,,,0,C,0,0,0
10,2011000000000010,0,C,627,2011-09-21,04:57:00 PM,57:00.00,,T,,0,T,T,C,0,0,0,0,,,F,,INSTALAÇÃO DE EQUIPAMENTO,,,nina,,,0,2011-09-22,04:45:08 PM,,0,,N,,,,,,0,C,0,0,0
