Iten,Atendimento,Usuario,Tipo,Arquivo,NomeArquivo,Descricao,Visivel,Assinatura,Nivel
1,13194,,A,13194.jpg,13194.jpg,10/02/16,N,N,P
2,13191,,A,13191.jpg,13191.jpg,10/02/16,N,N,P
3,13193,,A,13193.jpg,13193.jpg,11/02/16,N,N,P
4,13199,,A,13199.jpg,13199.jpg,11/02/16,N,N,P
5,13192,,A,13192.jpg,13192.jpg,11/02/16,N,N,P
6,13203,,A,13203.jpg,13203.jpg,11/02/16,N,N,P
7,13200,,A,13200.jpg,13200.jpg,11/02/16,N,N,P
8,13209,,A,13209.jpg,13209.jpg,11/02/16,N,N,P
9,13205,,A,13205.jpg,13205.jpg,11/02/16,N,N,P
10,13188,,A,13188.jpg,13188.jpg,11/02/16,N,N,P
11,13202,,A,13202.jpg,13202.jpg,12/02/16,N,N,P
12,13208,,A,13208.jpg,13208.jpg,12/02/16,N,N,P
13,13210,,A,13210.jpg,13210.jpg,12/02/16,N,N,P
14,13206,,A,13206.jpg,13206.jpg,12/02/16,N,N,P
15,13211,,A,13211.jpg,13211.jpg,12/02/16,N,N,P
16,13213,,A,13213.jpg,13213.jpg,12/02/16,N,N,P
17,13189,,A,13189.jpg,13189.jpg,Recofiguração de Roteador Primário,N,N,P
18,13214,,A,13214.jpg,13214.jpg,Troca de Fonte de Roteador.,N,N,P
19,13216,,A,13216.jpg,13216.jpg,MUDANÇA,N,N,P
20,13207,,A,13207.jpg,13207.jpg,12/02/16,N,N,P
21,13212,,A,13212.jpg,13212.jpg,12/02/16,N,N,P
22,13220,,A,13220.jpg,13220.jpg,15/02/2016,N,N,P
23,13218,,A,13218.jpg,13218.jpg,15/02/2016,N,N,P
24,13221,,A,13221.jpg,13221.jpg,15/02/2016,N,N,P
25,13177,,A,13177.jpg,13177.jpg,10/02/16,N,N,P
26,13230,,A,13230.jpg,13230.jpg,15/02/2016,N,N,P
27,13222,,A,13222.jpg,13222.jpg,15/02/2016,N,N,P
28,13223,,A,13223.jpg,13223.jpg,15/02/2016,N,N,P
29,13226,,A,13226.jpg,13226.jpg,15/02/2016,N,N,P
30,13224,,A,13224.jpg,13224.jpg,15/02/2016,N,N,P
