Id_cli,Numero_contrat,Plano,Situacao,Ativado
1,1,208,A,S
1,2050,155,C,S
1,2098,162,T,S
1,2150,185,C,S
1,3178,227,T,S
1,3496,229,T,S
1,4026,233,C,S
1,4065,235,C,S
1,4088,225,C,S
1,4131,233,C,S
1,4184,237,C,S
1,4229,237,A,S
1,5590,239,T,S
1,6107,259,T,S
1,6108,188,T,S
1,6109,259,A,S
1,7721,259,A,S
1,10092,259,A,S
1,20719,259,A,S
2,2,142,C,S
3,3,1,C,S
4,7712,260,A,S
5,4,189,C,S
6,5,184,C,S
7,6,2,C,S
8,7713,260,T,S
8,14419,289,A,S
8,14420,288,A,S
9,7,184,T,S
9,3310,233,T,S
9,4946,214,T,S
9,15351,292,A,S
9,15352,288,A,S
10,8,215,T,S
10,2511,215,T,S
10,6173,260,T,S
10,6175,260,T,S
10,14306,289,A,S
10,14307,289,A,S
10,14308,288,A,S
10,14309,288,A,S
11,9,142,C,S
12,10,212,T,S
12,3463,228,T,S
12,4630,238,C,S
13,11,6,C,S
14,12,213,T,S
14,2029,173,C,S
14,2609,221,C,S
14,5365,161,T,S
14,9401,262,A,S
14,9402,262,A,S
14,9403,262,A,S
14,9429,236,T,S
14,21244,187,A,S
14,21248,274,A,S
14,21249,274,A,S
14,21250,274,A,S
14,21251,274,A,S
14,21252,274,A,S
14,21253,274,A,S
14,21254,274,A,S
14,21255,274,A,S
14,21256,274,A,S
14,21257,274,A,S
14,21258,274,A,S
14,21261,274,A,S
14,21262,274,A,S
14,21263,274,A,S
15,13,2,C,S
16,14,184,T,S
16,3478,233,T,S
16,13711,289,T,S
16,13712,288,A,S
16,13784,292,A,S
17,15,142,C,S
18,16,6,C,S
19,17,3,C,S
20,18,142,C,S
21,19,2,C,S
22,20,2,C,S
23,21,184,C,S
24,22,6,C,S
25,23,142,C,S
26,24,149,C,S
27,25,2,C,S
28,26,3,C,S
29,27,184,T,S
29,3348,227,T,S
29,5172,237,A,S
30,28,184,C,S
31,29,143,C,S
32,30,6,C,S
33,31,184,C,S
33,10239,223,A,S
34,32,142,C,S
35,33,143,C,S
36,34,8,C,S
37,35,2,C,S
38,36,142,C,S
39,37,215,T,S
39,3814,237,T,S
39,8719,260,T,S
39,8720,261,T,S
39,13246,281,A,S
40,38,2,C,S
41,39,178,C,S
41,2013,184,T,S
41,2014,184,T,S
41,4286,188,C,S
41,4290,188,A,S
42,40,2,C,S
43,41,174,C,S
44,42,2,C,S
45,43,2,C,S
46,44,142,C,S
47,45,142,C,S
48,46,189,C,S
48,2019,224,T,S
